Begin at: Tue May 19 13:32:57 EDT 2015, train start at: Tue Jan 27 22:34:47 EST 2015, test end at: Wed Mar 25 07:31:35 EDT 2015.
Author: UNEP, id: 38146999, #fols: 7644, #exs: 376.
******************************
AuthorId fId #pos #neg #userTweets
38146999 2928361088 1 375 13
38146999 55164316 1 375 718
38146999 42249193 1 375 2914
38146999 2748745716 2 374 10591
38146999 2181972055 2 374 177
38146999 471516384 8 368 4675
38146999 21302574 4 372 882
38146999 402937312 5 371 12353
38146999 487944461 2 374 469
38146999 430506318 2 374 1718
38146999 2656308171 2 374 1012
38146999 1291693412 0 376 4083
38146999 2865496997 4 372 761
38146999 103064842 2 374 316
38146999 2745624135 1 375 778
38146999 2595384162 3 373 1540
38146999 48749683 1 375 453
38146999 330808784 2 374 980
38146999 46937987 1 375 1203
38146999 972481310 2 374 449
38146999 28480556 2 374 2154
38146999 2891193845 2 374 155
38146999 85833411 3 373 145
38146999 2589125882 3 373 134
38146999 115961344 1 375 518
38146999 1556493066 3 373 101
38146999 2290981130 1 375 907
38146999 518723121 1 375 516
38146999 1432374242 2 374 15764
38146999 485829143 6 370 2187
38146999 299740607 1 375 4838
38146999 834425298 3 373 11367
38146999 101938474 1 375 3858
38146999 3061689861 3 373 30
38146999 72499714 1 375 1774
38146999 1391517098 1 375 82
38146999 2567733696 1 375 457
38146999 999806958 2 374 2488
38146999 2442366924 1 375 109
38146999 453863067 4 372 8095
38146999 373740089 2 374 292
38146999 607844397 2 374 390
38146999 118988930 1 375 8449
38146999 3020812195 1 375 276
38146999 183347140 1 375 36
38146999 409641003 2 374 58
38146999 289841759 1 375 114
38146999 520136024 1 375 532
38146999 1640542184 2 374 304
38146999 397899175 1 375 177
38146999 90806990 1 375 4575
38146999 167744248 1 375 2548
38146999 2278140384 1 375 405
38146999 361922873 3 373 944
38146999 180317088 3 373 68295
38146999 2669186696 2 374 178
38146999 1624735118 3 373 6091
38146999 133672653 2 374 3187
38146999 183587019 7 369 160
38146999 3059592298 3 373 10459
